BI_rate,Ekspor,Impor,Inflasi
3.75,15300.2,13329.9,0.26
3.5,15255.4,13265,0.1
3.5,18398.4,16787.5,0.08
3.5,18474.1,16204.3,0.13
3.5,16908,14234.8,0.32
3.5,18547.8,17218.5,-0.16
3.5,19369.6,15263.1,0.08
3.5,21443.2,16678.9,0.03
3.5,20618.8,16234.1,-0.04
3.5,22091,16293.6,0.12
3.5,22845.4,19328.2,0.37
3.5,22357.7,21352,0.57
3.5,231609.5,16638.5,0.56
3.5,20489.1,21962.4,-0.02
3.5,26586.7,19757.4,0.66
3.5,27316.2,18609.3,0.95
3.5,21493.3,21003.9,0.4
3.5,26141,21345,0.61
3.5,25473.4,22150.6,0.64
3.75,27928.7,19808.3,-0.21
4.25,24764.5,19135.4,1.17
4.75,24726.3,18962.1,-0.11
5.25,24059.1,19863.1,0.09
5.5,23782.7,21345,0.66
5.75,291904.3,18442.9,0.34
5.75,21321.3,15919.2,0.16
5.75,23416,20588.1,0.18
5.75,19284.1,15347.6,0.33
5.75,21706.8,21279.6,0.09
5.75,20601.3,17150.5,0.14
5.75,20862.2,19570.3,0.21
5.75,21998,18879.8,-0.02
5.75,20746.5,17341.6,0.19
6,22146.7,18672.9,0.17
6,21998.6,19586.4,0.38
